127.0.0.1 - - [17/Oct/2018:18:20:40 +0900] "GET / HTTP/1.1" 404 1076
0:0:0:0:0:0:0:1 - - [17/Oct/2018:18:20:41 +0900] "GET /1-hello-world/WEB-INF/cookie-test.jsp HTTP/1.1" 404 1053
0:0:0:0:0:0:0:1 - - [17/Oct/2018:18:20:41 +0900] "GET /favicon.ico HTTP/1.1" 404 1087
0:0:0:0:0:0:0:1 - - [17/Oct/2018:18:20:56 +0900] "GET /1-hello-world/WEB-INF/member.jsp HTTP/1.1" 404 1053
0:0:0:0:0:0:0:1 - - [17/Oct/2018:18:21:08 +0900] "GET /1-hello-world/members HTTP/1.1" 200 49
0:0:0:0:0:0:0:1 - - [17/Oct/2018:18:21:18 +0900] "GET /1-hello-world/cookie HTTP/1.1" 500 3276
0:0:0:0:0:0:0:1 - - [17/Oct/2018:18:22:55 +0900] "GET /1-hello-world/cookie HTTP/1.1" 200 405
0:0:0:0:0:0:0:1 - - [17/Oct/2018:18:26:25 +0900] "GET /1-hello-world/cookie HTTP/1.1" 200 405
0:0:0:0:0:0:0:1 - - [17/Oct/2018:18:26:26 +0900] "GET /1-hello-world/cookie HTTP/1.1" 200 405
0:0:0:0:0:0:0:1 - - [17/Oct/2018:18:26:26 +0900] "GET /1-hello-world/cookie HTTP/1.1" 200 487
0:0:0:0:0:0:0:1 - - [17/Oct/2018:18:26:26 +0900] "GET /1-hello-world/cookie HTTP/1.1" 200 569
0:0:0:0:0:0:0:1 - - [17/Oct/2018:18:26:27 +0900] "GET /1-hello-world/cookie HTTP/1.1" 200 651
0:0:0:0:0:0:0:1 - - [17/Oct/2018:18:26:27 +0900] "GET /1-hello-world/cookie HTTP/1.1" 200 733
0:0:0:0:0:0:0:1 - - [17/Oct/2018:18:26:27 +0900] "GET /1-hello-world/cookie HTTP/1.1" 200 815
0:0:0:0:0:0:0:1 - - [17/Oct/2018:18:26:27 +0900] "GET /1-hello-world/cookie HTTP/1.1" 200 897
0:0:0:0:0:0:0:1 - - [17/Oct/2018:18:26:27 +0900] "GET /1-hello-world/cookie HTTP/1.1" 200 979
0:0:0:0:0:0:0:1 - - [17/Oct/2018:18:26:28 +0900] "GET /1-hello-world/cookie HTTP/1.1" 200 1062
0:0:0:0:0:0:0:1 - - [17/Oct/2018:18:26:28 +0900] "GET /1-hello-world/cookie HTTP/1.1" 200 1146
0:0:0:0:0:0:0:1 - - [17/Oct/2018:18:26:28 +0900] "GET /1-hello-world/cookie HTTP/1.1" 200 1230
0:0:0:0:0:0:0:1 - - [17/Oct/2018:18:26:28 +0900] "GET /1-hello-world/cookie HTTP/1.1" 200 1314
0:0:0:0:0:0:0:1 - - [17/Oct/2018:18:26:28 +0900] "GET /1-hello-world/cookie HTTP/1.1" 200 1398
